機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
SC-EN5,RFEA201C-T,B4210-1540,電源轉換器,1000,1430,1200,E.30
SB-WA340GCS,ETP28KBZA1PU,B4210-1560,待機變壓器,120,550,200,E.30
SB-WA340GCS,G4C7AGG00002,B4210-1570,電源變壓器,1800,2230,2100,E.30
SA-PM148GC-S,G4C6AEZ00002,B4210-1580,電源變壓器,900,1330,1200,E.30
SA-VK30,G4C7AGC00002,B4210-1600,電源變壓器,1300,1730,1550,E.30
SB-WA600,ETP28KBZ21JU,B4210-1620,變壓器,150,580,250,E.30
SB-WA600,G4C7AGJ00002,B4210-1630,電源變壓器,1300,1730,1550,E.30
SA-PM39,G4C6AFK00006,B4210-1670,主電源變壓器,1200,1630,1450,E.30
SA-VK31,G4C8AHK00003,B4210-1680,主電源變壓器,2100,2530,2400,E.30
SA-VK71,G4C8AGK00001,B4210-1690,主電源變壓器,2100,2530,2400,E.30
SA-AK230,G4C7AFC00003,B4210-1700,主電源變壓器,1700,2130,2000,E.30
SA-AK330,G4C7AFC00004,B4210-1710,主電源變壓器,2000,2430,2200,E.30
SA-PM71,G4C2AAD00004,B4210-1720,待機變壓器,150,580,250,E.30
SA-PM21,G4C6ADC00002,B4210-1730,待機變壓器,1100,1530,1300,E.30
SA-PM41,G4C6AFC00003,B4210-1740,電源變壓器,1200,1630,1450,E.30
SA-PM31,G4C6AFC00002,B4210-1750,電源變壓器,1000,1430,1200,E.30
SA-PM91,G4C6AFK00012,B4210-1770,電源變壓器,1300,1730,1550,E.30
SB-WA840,G4C7AGK00006,B4210-1780,電源變壓器,1900,2330,2200,E.30
SA-PM71,G4C6AFC00001,B4210-1790,電源變壓器,1100,1530,1300,E.30
SL-1200MK5,SFDZ122S01E1,B4210-1810,電源變壓器,1300,1730,1550,E.30
SA-AK240,G4CYAYY00052,B4210-1830,電源變壓器,1300,1730,1550,E.30
SA-PM54,G4CYAYY00065,B4210-1840,待機變壓器,200,630,300,E.30
SA-PM3,G4CYAYY00076,B4210-1850,電源變壓器,900,1330,1100,E.30
SA-PM33,G4CYAYY00084,B4210-1860,主電源變壓器,1300,1730,1550,E.30
SA-HT40,ETS42AD4S4AD,B4210-1870,主電源變壓器,400,830,500,E.30
SA-HT40,ETS19AB1X6AG,B4210-1880,待機變壓器,150,580,180,E.30
RP-WF6000GT,RFX5726-1,B4210-1890,AC電源變壓器,2100,2530,2400,E.30
SC-EN35,G4CYAYY00154,B4210-1900,電源變壓器,800,1230,1000,E.30
SH-FX67GT,N0AE6GY00001,B4210-1920,電源交換模組,1200,2060,1450,H.60
SA-PT570,ETS42BN1A6AD,B4210-1930,主變壓器,350,780,450,E.30
SA-PT550,ETS19AB236AG,B4210-1940,待機變壓器,120,550,200,E.30
SA-HT540,ETS19AB1Z6AG,B4210-1950,待機變壓器,120,550,200,E.30
SA-HT540,ETS42BJ1F6AC,B4210-1960,變壓器,300,730,400,E.30
SC-EN38,G4CYAYY00180,B4210-1970,電源變壓器,1000,1430,1200,E.30
SA-PM46,G4CYAYY00184,B4210-1980,電源變壓器,900,1330,1100,E.30
SA-BT100,ETS42BM1B6AC,B4210-1990,變壓器,300,730,400,E.30
SA-BT100,ETS19AB281AG,B4210-2000,變壓器,120,550,200,E.30
SA-PM42,G4CYBYY00024,B4210-2010,電源變壓器,1100,1530,1300,E.30
SC-HC30,ETS28BH156AC,B4210-2020,變壓器,200,630,300,E.30
RX-D53GT,G4C4BBC00001,B4210-2030,變壓器,700,1130,850,E.30
RX-D55,G4CYAYY00237,B4210-2040,變壓器,1000,1430,1200,E.30
SC-HTB550GTK,ETS35BL166AD,B4210-2050,主變壓器,300,730,400,E.30
SA-XH50GT,ETS35BL136AC,B4210-2060,開關變壓器,250,680,350,E.30
SC-HC38GT,G4DYZ0000071,B4210-2070,變壓器,150,580,250,E.30
SC-HTB570GTK,ETS35BL196AD,B4210-2080,變壓器,300,730,400,E.30
SC-HTB570GTK,G4DYA0000485,B4210-2090,變壓器,300,730,400,E.30
SA-BTT480GTK,ETS40BD15GAD,B4210-2100,主變壓器,300,730,400,E.30
SA-BTT480GTK,G4D1A0000142,B4210-2110,變壓器,90,520,150,E.30
SA-BTT480GTK,G4DYZ0000065,B4210-2120,變壓器,90,520,150,E.30
SC-HC4,G4D1A0000117,B4210-2130,變壓器,50,480,90,E.30
SC-HC200GT,G4DYZ0000077,B4210-2140,變壓器,200,1480,300,K.90
SC-HTB150GT-K,1072PANAS0174,B4210-2150,變壓器,300,520,400,B.15
SL-CT570,RFEV027P-SS,B4224-0080,耳機線控器,700,990,850,C.20
SC-HC49GT,H0A327200181,B4230-0010,振盪子,30,460,50,E.30
SC-HC38GT,H0J120500076,B4230-0020,振盪子,30,460,50,E.30
SC-HC28GT,H2B8004A0008,B4230-0030,振盪子,30,460,50,E.30
SA-PM46,H2B169500005,B4230-0040,振盪子,50,480,90,E.30
SB-WA840,K5G502AA0002,B4235-0200,保險絲電阻,30,460,50,E.30
SA-PM19,K5G402AA0002,B4235-0210,保險絲電阻,30,460,50,E.30
SA-AK310,K5D252BK0007,B4235-0220,保險絲電阻,30,460,50,E.30
SA-PM46,K5G502A00039,B4235-0230,保險絲電阻,50,480,90,E.30
SA-PM54,K5G402A00025,B4235-0240,保險絲電阻,30,460,50,E.30
SH-FX71,J0KG00000037,B4235-0250,電源濾波器,150,1010,250,H.60
SA-PM700GT-S,K5G312YA0159,B4235-0260,保險絲,50,480,90,E.30
SA-VK91,7L1A62N,B4236-0500,振盪線圈,50,480,90,E.30
SL-DZ1200,G0BYYYY00016,B4236-0510,線路保護線圈,50,480,90,E.30
SB-AK18,EAST12P23B6,B4240-2620,低音喇叭　　　　　　　　　　　,250,680,350,E.30
SB-PM22,RYB0225A,B4240-2730,喇叭網　　　　　　　　　　　　,120,550,200,E.30
SB-PM25,EAST10PL31A6,B4240-3200,低音喇叭,500,930,650,E.30
SB-PM07,RFKHBPM07E-M,B4240-3390,喇叭箱,1800,2230,2100,E.30
SB-PM07,RYQ0371-M,B4240-3410,喇叭面框,500,930,650,E.30
SB-PM07,EAST8P17A6,B4240-3420,喇叭,500,930,650,E.30
SB-PS81,EAST6PH08A6,B4240-3500,高音喇叭,120,550,200,E.30
SB-PM147,RFKHBPM27PAK,B4240-3580,喇叭木箱左,1300,1730,1560,E.30
SB-PM147,RFKHBPM27PBK,B4240-3590,喇叭木箱右,1300,1730,1560,E.30
SB-PM147,RYB0294,B4240-3600,前喇叭網,200,630,300,E.30
